popB,carrie bow cay,utila,guanaja,cayos becerros,cayos de media luna,bocas del toro,el porvenir,cayos holandeses,islas puyadas,cayos ratones,cayos ingleses,achutupu,isla dupak,goedup
utila,154,,,,,,,,,,,,,
guanaja,230,115,,,,,,,,,,,,
cayos becerros,513,398,283,,,,,,,,,,,
cayos de media luna,631,516,391,111,,,,,,,,,,
bocas del toro,1286,1171,1046,766,655,,,,,,,,,
el porvenir,1371,1256,1131,851,740,358,,,,,,,,
cayos holandeses,1399,1284,1159,879,768,386,28,,,,,,,
islas puyadas,1419,1304,1179,899,788,400,42,20,,,,,,
cayos ratones,1456,1341,1216,936,825,438,80,57,37,,,,,
cayos ingleses,1471,1356,1231,951,840,453,95,72,52,15,,,,
achutupu,1492,1377,1252,972,861,473,115,93,77,36,21,,,
isla dupak,1524,1409,1284,1004,893,505,147,124,103,67,52,32,,
goedup,1541,1426,1301,1021,910,551,193,140,120,82,69,48,17,
barbados,3131,3016,2891,2611,2500,2639,2281,2228,2208,2170,2157,2136,2105,2088